#Char	Unicode	PinYin	src	ceftab	cnsunipy	HYDZD	hy1	unihanpy	unihandb	checked	modified
𩏼	U+293FC									no	
𩏽	U+293FD									no	
𩏾	U+293FE									no	
𩏿	U+293FF									no	
𩐀	U+29400									no	
𩐁	U+29401	xie4	HYDZD	jiu3	jiu3	xie4				no	
𩐂	U+29402	xie4	cefpytab	xie4	xie4					no	
𩐃	U+29403	nodice	cnsunipy		nodice					no	
𩐄	U+29404	ji4	cefpytab	ji4	ji4					no	
𩐅	U+29405	sa4	HYDZD	sa4	sa4	sa4				no	
𩐆	U+29406	ji1	HYDZD			ji1				no	
𩐇	U+29407	ji1	cnsunipy		ji1					no	
𩐈	U+29408									no	
𩐉	U+29409	xie4	HYDZD	xie4	xie4	xie4				no	
𩐊	U+2940A	ji1	cnsunipy	ji1	ji1	 				no	
𩐋	U+2940B	ji1	cnsunipy		ji1					no	
𩐌	U+2940C	dui4	HYDZD	dui4	dui4	dui4				no	
𩐍	U+2940D	zi3	HYDZD	zi4	zi4	zi3				no	
𩐎	U+2940E									no	
𩐏	U+2940F	fan2	cefpytab	fan2	fan2					no	
𩐐	U+29410									no	
𩐑	U+29411									no	
𩐒	U+29412									no	
𩐓	U+29413	ji1	cnsunipy		ji1					no	
𩐔	U+29414	hao3	cefpytab	hao3	hao3					no	
𩐕	U+29415	dui4	cefpytab	dui4	dui4					no	
𩐖	U+29416	ji4	cefpytab	ji4	ji4					no	
𩐗	U+29417									no	
𩐘	U+29418	yuan3	HYDZD	yuan3	yuan3	yuan3				no	
𩐙	U+29419	qin4	HYDZD		qin4	qin4				no	
𩐚	U+2941A	fu2	HYDZD	fu2	fu2	fu2				no	
𩐛	U+2941B	peng2	HYDZD	peng2	peng2	peng2				no	
𩐜	U+2941C	pao2	HYDZD	pao2	pao2	pao2				no	
𩐝	U+2941D									no	
𩐞	U+2941E	yin4	HYDZD	yin4	yin4	yin4				no	
𩐟	U+2941F	bo1	cefpytab	bo1	bo2					no	
𩐠	U+29420	hong1	HYDZD	hong1	hong1	hong1				no	
𩐡	U+29421	zu2	HYDZD	cu4	cu4	zu2				no	
𩐢	U+29422	xiang3	cefpytab	xiang3	xiang3					no	
𩐣	U+29423	gong1	HYDZD		guang1	gong1				no	
𩐤	U+29424	dong4	HYDZD	dong4	dong4	dong4				no	
𩐥	U+29425	he1	HYDZD	he1	he1	he1				no	
𩐦	U+29426	wo4	HYDZD	yao4	yao4	wo4				no	
𩐧	U+29427	an1	cefpytab	an1	an1					no	
𩐨	U+29428	pang1	HYDZD	pang1	pang1	pang1				no	
𩐩	U+29429									no	
𩐪	U+2942A									no	
𩐫	U+2942B	su4	HYDZD	shu4	su4	su4				no	
𩐬	U+2942C	kan3	HYDZD	gan4	gang4	kan3				no	
𩐭	U+2942D	nie4	HYDZD	nian3	nie4	nie4				no	
𩐮	U+2942E	hao2	HYDZD		hao2	hao2				no	
𩐯	U+2942F	feng4	HYDZD			feng4				no	
𩐰	U+29430	e4	HYDZD	e4	e4	e4				no	
𩐱	U+29431	ye4	HYDZD	ye4	ye4	ye4				no	
𩐲	U+29432	feng4	cnsunipy		feng4					no	
𩐳	U+29433									no	
𩐴	U+29434	ting2	HYDZD	ting2	ting2	ting2				no	
𩐵	U+29435	dong4	HYDZD	dong4	dong4	dong4				no	
𩐶	U+29436	zhe2	HYDZD	zhe2	zhe2	zhe2				no	
𩐷	U+29437	sang1	HYDZD	sang1	sang1	sang1				no	
𩐸	U+29438									no	
𩐹	U+29439	dong4	cefpytab	dong4	dong4					no	
𩐺	U+2943A	jing1	cefpytab	jing1	jing1					no	
𩐻	U+2943B	mo4	HYDZD	mo4	mo4	mo4				no	
𩐼	U+2943C	su4	HYDZD		su4	su4				no	
𩐽	U+2943D									no	
𩐾	U+2943E	le4	HYDZD	le4	le4	le4				no	
𩐿	U+2943F	xiang3	cefpytab	xiang3	xiang3					no	
𩑀	U+29440	pu3	HYDZD	pu2	pu2	pu3				no	
𩑁	U+29441	e2	HYDZD	jin2	e2	e2				no	
𩑂	U+29442	zhuo2	HYDZD	zhuo2	zhuo2	zhuo2				no	
𩑃	U+29443	ye4	HYDZD		ye4	ye4				no	
𩑄	U+29444									no	
𩑅	U+29445	gan4	cefpytab	gan4	gan4					no	
𩑆	U+29446									no	
𩑇	U+29447	xiang1	HYDZD	xiang1	zhuo2	xiang1				no	
𩑈	U+29448	guang4	HYDZD	guang4	guang4	guang4				no	
𩑉	U+29449	ren3	HYDZD	ren3	ren3	ren3				no	
𩑊	U+2944A	ling2	HYDZD	long2	ling2	ling2				no	
𩑋	U+2944B	ye4	cefpytab	ye4	ye4					no	
𩑌	U+2944C	you4	cefpytab	you4	you4					no	
𩑍	U+2944D	ao4	HYDZD		ao4	ao4				no	
𩑎	U+2944E									no	
𩑏	U+2944F									no	
𩑐	U+29450	chai1	HYDZD		chai1	chai1				no	
𩑑	U+29451	yao1	cnsunipy		yao1					no	
𩑒	U+29452	duo2	HYDZD		duo2	duo2				no	
𩑓	U+29453	qiong2	HYDZD		qiong2	qiong2				no	
𩑔	U+29454	ku1,ya4	HYDZD	kun3	ku1	ku1 ya4				no	
𩑕	U+29455	xu1	HYDZD		xu1	xu1				no	
𩑖	U+29456	huan2	HYDZD		huan2	huan2				no	
𩑗	U+29457	yao1	HYDZD		yao1	yao1				no	
𩑘	U+29458	zhen4	HYDZD	zhen4	zhen4	zhen4				no	
𩑙	U+29459	ting3	HYDZD	ting0	ting3	ting3				no	
𩑚	U+2945A	beng3,lei4	HYDZD	beng3	ben3	beng3 lei4				no	
𩑛	U+2945B	fa3	cefpytab	fa3	fa3					no	
𩑜	U+2945C	dan3	cnsunipy		dan3					no	
𩑝	U+2945D	ang2	HYDZD		ang2	ang2				no	
𩑞	U+2945E	ran2	cefpytab	ran2	ran3					no	
𩑟	U+2945F	kan1,qian1	HYDZD		kan1 qu1	kan1 qian1				no	
𩑠	U+29460	ce4	cefpytab	ce4	ce4					no	
𩑡	U+29461	ku1,gen3	HYDZD		gen3	ku1 gen3				no	
𩑢	U+29462	pei2,bai1	HYDZD		bai1	pei2 bai1				no	
𩑣	U+29463	you4	HYDZD	you4	you4	you4				no	
𩑤	U+29464	ao3	HYDZD		ao3	ao3				no	
𩑥	U+29465	men2	HYDZD		men2	men2				no	
𩑦	U+29466	mo4	HYDZD	mo4	mo4	mo4				no	
𩑧	U+29467	yu3	cnsunipy		yu3					no	
𩑨	U+29468	kun3	cefpytab	kun3	ku1					no	
𩑩	U+29469	lei4	cefpytab	lei4	lei4					no	
𩑪	U+2946A	yi2	cnsunipy		yi2					no	
𩑫	U+2946B									no	
𩑬	U+2946C	fu3,gui1	HYDZD	fu3	fu3	fu3 gui1				no	
𩑭	U+2946D	qing1	HYDZD			qing1				no	
𩑮	U+2946E	la4	HYDZD		la4	la4				no	
𩑯	U+2946F	dou3	HYDZD			dou3				no	
𩑰	U+29470	tan3	HYDZD	tan3	tan3	tan3				no	
𩑱	U+29471	fa3	cefpytab	fa3	fa3					no	
𩑲	U+29472	you4	cefpytab	you4	you4					no	
𩑳	U+29473	qian3	HYDZD	qian4	qian3	qian3				no	
𩑴	U+29474	yao4	HYDZD	ao4	ao4	yao4				no	
𩑵	U+29475	wei4	HYDZD	wei4	wei4	wei4				no	
𩑶	U+29476	hu2,ku1	HYDZD	hu2	ku1	hu2 ku1				no	
𩑷	U+29477	mo4	HYDZD	mo4	mo4	mo4				no	
𩑸	U+29478	he1	HYDZD	he3	he1	he1				no	
𩑹	U+29479	xuan4	HYDZD	xuan2	xuan4	xuan4				no	
𩑺	U+2947A	ran2	cefpytab	ran2	ran2					no	
𩑻	U+2947B	bi4,po2	HYDZD	bi4	bi4	bi4 po2				no	
𩑼	U+2947C	po1	HYDZD	po1	po1	po1				no	
𩑽	U+2947D	zi1	cefpytab	zi1	zi1					no	
𩑾	U+2947E	di1	HYDZD	di1	di1	di1				no	
𩑿	U+2947F									no	
𩒀	U+29480	zhen3	HYDZD	zhen3	zhen3	zhen3				no	
𩒁	U+29481	hai2	cnsunipy		hai2					no	
𩒂	U+29482	shi1	HYDZD	shi1	shi1	shi1				no	
𩒃	U+29483	kan3	HYDZD	kan3	kan3	kan3				no	
𩒄	U+29484	ce4	HYDZD		ce4	ce4				no	
𩒅	U+29485									no	
𩒆	U+29486	ding3	cefpytab	ding3	ding3					no	
𩒇	U+29487	xu1	HYDZD	xu1	xu1	xu1				no	
𩒈	U+29488	zhen3	HYDZD	zhen3	zhen3	zhen3				no	
𩒉	U+29489	zhen3	cefpytab	zhen3	zhen3					no	
𩒊	U+2948A	zhu3	HYDZD	zhu3	zhu3	zhu3				no	
𩒋	U+2948B	po4	cnsunipy		po4					no	
𩒌	U+2948C	mo4	cefpytab	mo4	hui4					no	
𩒍	U+2948D									no	
𩒎	U+2948E									no	
𩒏	U+2948F	hui4	HYDZD		hui4	hui4				no	
𩒐	U+29490	chi3	HYDZD		chi3	chi3				no	
𩒑	U+29491	kuang1	cefpytab	kuang1	kuang4					no	
𩒒	U+29492	e3	cnsunipy		e3					no	
𩒓	U+29493	hong3	HYDZD		hong3	hong3				no	
𩒔	U+29494	nou2	HYDZD		niu2	nou2				no	
𩒕	U+29495	nie4,po4,e4	HYDZD		nie4	nie4 po4 e4				no	
𩒖	U+29496	yan4	HYDZD	yan4	yan4	yan4				no	
𩒗	U+29497	tong3	cefpytab	tong3	dong4					no	
𩒘	U+29498	chong3	HYDZD	chong3	chong3	chong3				no	
𩒙	U+29499	fu3,gui4	HYDZD	fu3	fu3	fu3 gui4				no	
𩒚	U+2949A	guang1	HYDZD	e4	guang1	guang1				no	
𩒛	U+2949B	qi1	HYDZD	qi1	qi1	qi1				no	
𩒜	U+2949C	duo3	cefpytab	duo3	duo3					no	
𩒝	U+2949D	gen3	HYDZD	gen3	gen3	gen3				no	
𩒞	U+2949E	ting3	HYDZD	fu3	ting2	ting3				no	
𩒟	U+2949F	pan4	cefpytab	pan4	kui2					no	
𩒠	U+294A0									no	
𩒡	U+294A1									no	
𩒢	U+294A2	tan3	HYDZD	tan3	tan3	tan3				no	
𩒣	U+294A3	qian3	HYDZD			qian3				no	
𩒤	U+294A4	jing3	cefpytab	jing3	jing3					no	
𩒥	U+294A5									no	
𩒦	U+294A6	jiu4,xin4	HYDZD	xin4	xin4	jiu4 xin4				no	
𩒧	U+294A7	xu1	HYDZD	xu1	xu1	xu1				no	
𩒨	U+294A8	qi3	HYDZD			qi3				no	
𩒩	U+294A9									no	
𩒪	U+294AA	zhen4	HYDZD	qin3	qian3	zhen4				no	
𩒫	U+294AB	yi2	cefpytab	yi2	yi2					no	
𩒬	U+294AC									no	
𩒭	U+294AD	xu1	cnsunipy		xu1					no	
𩒮	U+294AE	qiu2	HYDZD	qiu2	qiu2	qiu2				no	
𩒯	U+294AF	qin3	cefpytab	qin3	qian3					no	
𩒰	U+294B0	e3	HYDZD	e2	e2	e3				no	
𩒱	U+294B1	kun1	cefpytab	kun1	kun1					no	
𩒲	U+294B2	gua1	cefpytab	gua1	kuo4					no	
𩒳	U+294B3	hui4	HYDZD	mei4	mei4	hui4				no	
𩒴	U+294B4	hong4	HYDZD	hong4	hong4	hong4				no	
𩒵	U+294B5	qing3	HYDZD	qing3	qing3	qing3				no	
𩒶	U+294B6	kui2	cefpytab	kui2	kui2					no	
𩒷	U+294B7	che1,rong3	HYDZD	che1	che1	che1 rong3				no	
𩒸	U+294B8	qin3	cefpytab	qin3	qin3					no	
𩒹	U+294B9	ran2	cefpytab	ran2	ran3					no	
𩒺	U+294BA	fu4	HYDZD	fu4	fu4	fu4				no	
𩒻	U+294BB	yin4	cefpytab	yin4	yin4					no	
𩒼	U+294BC	hong1	HYDZD	hong1	hong1	hong1				no	
𩒽	U+294BD	xi1	HYDZD	xi1	xi1	xi1				no	
𩒾	U+294BE	wu2	HYDZD	wu2	wu1	wu2				no	
𩒿	U+294BF	mang2	HYDZD	mang2	mang2	mang2				no	
𩓀	U+294C0	shua3	cefpytab	shua3	shua3					no	
𩓁	U+294C1	ao2	cefpytab	ao2	ao2					no	
𩓂	U+294C2	ti1	HYDZD	ti1	ti1	ti1				no	
𩓃	U+294C3	lai4	cefpytab	lai4	lai4					no	
𩓄	U+294C4	fou2	cefpytab	fou2	pi1					no	
𩓅	U+294C5	hong1	HYDZD	hong1	hong1	hong1				no	
𩓆	U+294C6	yue4	cnsunipy		yue4					no	
𩓇	U+294C7									no	
𩓈	U+294C8									no	
𩓉	U+294C9									no	
𩓊	U+294CA									no	
𩓋	U+294CB									no	
𩓌	U+294CC									no	
𩓍	U+294CD									no	
𩓎	U+294CE									no	
𩓏	U+294CF									no	
𩓐	U+294D0	bo2	HYDZD			bo2				no	
𩓑	U+294D1	bi4	cnsunipy		bi4					no	
𩓒	U+294D2	qin3	HYDZD			qin3				no	
𩓓	U+294D3	gen3	HYDZD	gen3	gen3	gen3				no	
𩓔	U+294D4	mo4	cefpytab	mo4	mo4					no	
𩓕	U+294D5	lei3	cnsunipy		lei3					no	
𩓖	U+294D6	fu2	HYDZD	fu2	fu2	fu2				no	
𩓗	U+294D7	kui3	HYDZD			kui3				no	
𩓘	U+294D8	e2	cefpytab	e2	e2					no	
𩓙	U+294D9									no	
𩓚	U+294DA									no	
𩓛	U+294DB									no	
𩓜	U+294DC									no	
𩓝	U+294DD	bie2	HYDZD	bie2	bie2	bie2				no	
𩓞	U+294DE	jing4	HYDZD	jing4	jing4	jing4				no	
𩓟	U+294DF	kan3	HYDZD	qian1	gan3	kan3				no	
𩓠	U+294E0	gui1	HYDZD	gui1	gui1	gui1				no	
𩓡	U+294E1	gui1	cefpytab	gui1	gui1					no	
𩓢	U+294E2	gao3	HYDZD	gao3	gao3	gao3				no	
𩓣	U+294E3	xu1	HYDZD	xu1	xu1	xu1				no	
𩓤	U+294E4	an4	HYDZD	an4	an4	an4				no	
𩓥	U+294E5	yue4	HYDZD	yue4	yue4	yue4				no	
𩓦	U+294E6	wu4	HYDZD	yu4	wu4	wu4				no	
𩓧	U+294E7	yi2	HYDZD	yi2	yi2	yi2				no	
𩓨	U+294E8	jing1	HYDZD	jing1	jing1	jing1				no	
𩓩	U+294E9	dou1	cefpytab	dou1	dou1					no	
𩓪	U+294EA	lu4	HYDZD	lu4	lu4	lu4				no	
𩓫	U+294EB	quan2	HYDZD	quan2	quan2	quan2				no	
𩓬	U+294EC	tui2	HYDZD	tui2	tui2	tui2				no	
𩓭	U+294ED	pei2	cefpytab	pei2	pi1					no	
𩓮	U+294EE	ji4	HYDZD	ji4	ji4	ji4				no	
𩓯	U+294EF	jiong3	cefpytab	jiong3	pin2					no	
𩓰	U+294F0	kui2	cefpytab	kui2	kui2					no	
𩓱	U+294F1	quan2	cefpytab	quan2	han4					no	
𩓲	U+294F2									no	
𩓳	U+294F3									no	
𩓴	U+294F4									no	
𩓵	U+294F5									no	
𩓶	U+294F6									no	
𩓷	U+294F7									no	
𩓸	U+294F8	gui1	cefpytab	gui1	gui1					no	
𩓹	U+294F9									no	
𩓺	U+294FA	jiong3	HYDZD		jiong3	jiong3				no	
𩓻	U+294FB	jue2	HYDZD	jiao3	jue2	jue2				no	
𩓼	U+294FC	pie1	HYDZD		pie1	pie1				no	
𩓽	U+294FD	kun1	HYDZD		kun1	kun1				no	
𩓾	U+294FE	ran2	cefpytab	ran2	ran3					no	
𩓿	U+294FF									no	
𩔀	U+29500	wai4	HYDZD	kui4	wei4	wai4				no	
𩔁	U+29501	hui4	HYDZD	hui4	hui4	hui4				no	
𩔂	U+29502	dun4	HYDZD	dun4	dun4	dun4				no	
𩔃	U+29503	yuan3	HYDZD	yuan3	yuan3	yuan3				no	
𩔄	U+29504	jie2	HYDZD	jie2	jie2	jie2				no	
𩔅	U+29505	pi4	cefpytab	pi4	pi4					no	
𩔆	U+29506	gui4	HYDZD	ji4	ji4	gui4				no	
𩔇	U+29507	gao3	HYDZD	lao3	gao3	gao3				no	
𩔈	U+29508	po4	HYDZD	po4	po4	po4				no	
𩔉	U+29509	men2,min2,hun1	HYDZD	men2	men2	men2 min2 hun1				no	
𩔊	U+2950A	zhuan4	HYDZD	zhuan4	zhuan4	zhuan4				no	
𩔋	U+2950B	hang4	HYDZD	hang4	hang4	hang4				no	
𩔌	U+2950C	pi1	cefpytab	pi1	pi1					no	
𩔍	U+2950D									no	
𩔎	U+2950E									no	
𩔏	U+2950F									no	
𩔐	U+29510									no	
𩔑	U+29511									no	
𩔒	U+29512									no	
𩔓	U+29513	han4	cefpytab	han4	han4					no	
𩔔	U+29514	yong2	HYDZD	yong2	yong2	yong2				no	
𩔕	U+29515	qiu2	HYDZD			qiu2				no	
𩔖	U+29516									no	
𩔗	U+29517	lei4,li4	unihanpy					lei4 li4		no	
𩔘	U+29518	ang2	HYDZD			ang2				no	
𩔙	U+29519	pi3,xin4	HYDZD	pi4	pi4	pi3 xin4				no	
𩔚	U+2951A	weng1,weng3	HYDZD	weng1	weng1	weng1 weng3				no	
𩔛	U+2951B	zhan1	cefpytab	zhan1	zhan1					no	
𩔜	U+2951C	song4	cefpytab	song4	rong2					no	
𩔝	U+2951D	qin4	HYDZD	qin4	qin4	qin4				no	
𩔞	U+2951E	han2	cefpytab	han2	han4					no	
𩔟	U+2951F	qin3	HYDZD	qin3	qin3	qin3				no	
𩔠	U+29520	mie4	HYDZD	mie4	mie4	mie4				no	
𩔡	U+29521	do1	HYDZD	dou1	dou1	do1				no	
𩔢	U+29522	mi2	HYDZD	mi2	mi2	mi2				no	
𩔣	U+29523	zhan1	HYDZD	zhan1	zhan1	zhan1				no	
𩔤	U+29524	pin2	cefpytab	pin2	pin2					no	
𩔥	U+29525	qing3	HYDZD	qing3	qing3	qing3				no	
𩔦	U+29526	yi2	HYDZD	yi2	yi2	yi2				no	
𩔧	U+29527	lei4	cefpytab	lei4	lei4					no	
𩔨	U+29528	xin4	cefpytab	xin4	xin4					no	
𩔩	U+29529	gui1	cefpytab	gui1	gui1					no	
𩔪	U+2952A									no	
𩔫	U+2952B									no	
𩔬	U+2952C									no	
𩔭	U+2952D									no	
𩔮	U+2952E	ban1	HYDZD			ban1				no	
𩔯	U+2952F	jia2	cefpytab	jia2	jia2					no	
𩔰	U+29530	xian3	cefpytab	xian3	xian3					no	
𩔱	U+29531	juan1	HYDZD			juan1				no	
𩔲	U+29532									no	
𩔳	U+29533	ze2	HYDZD	ze2	ze2	ze2				no	
𩔴	U+29534	xu4	HYDZD	xu4	xu4	xu4				no	
𩔵	U+29535	lan2	HYDZD	lan2	lan2	lan2				no	
𩔶	U+29536	ma2	HYDZD	ma2	ma2	ma2				no	
𩔷	U+29537	ma2	HYDZD	ma2	ma2	ma2				no	
𩔸	U+29538	ou1	HYDZD	ou1	ou1	ou1				no	
𩔹	U+29539	bei1	HYDZD	bei1	bei1	bei1				no	
𩔺	U+2953A	lu2	cefpytab	lu2	lu2					no	
𩔻	U+2953B	pou2	HYDZD	pou3	bao3	pou2				no	
𩔼	U+2953C	xu4	HYDZD	xu4	xu4	xu4				no	
𩔽	U+2953D	yi1	cefpytab	yi1	yi1					no	
𩔾	U+2953E	bi4	cefpytab	bi4	bi1					no	
𩔿	U+2953F									no	
𩕀	U+29540	ao4	HYDZD	ao2	ao2	ao4				no	
𩕁	U+29541									no	
𩕂	U+29542	you1	cnsunipy		you1					no	
𩕃	U+29543									no	
𩕄	U+29544									no	
𩕅	U+29545	qin3	cefpytab	qin3	qian3					no	
𩕆	U+29546	hong3	HYDZD		hong3	hong3				no	
𩕇	U+29547									no	
𩕈	U+29548	fan2	cefpytab	fan2	fan2					no	
𩕉	U+29549	hong3	HYDZD	hong3	hong3	hong3				no	
𩕊	U+2954A	zhan3	HYDZD	zhan3	zhan3	zhan3				no	
𩕋	U+2954B	ning3	cefpytab	ning3	ning3					no	
𩕌	U+2954C	sen3	HYDZD	sen3	sen3	sen3				no	
𩕍	U+2954D	gao3,hao2	HYDZD	gao3	gao3	gao3 hao2				no	
𩕎	U+2954E	lü3	cnsunipy		lü3					no	
𩕏	U+2954F	po2,fan2	HYDZD	po2	po2	po2 fan2				no	
𩕐	U+29550	liao4	HYDZD	liao4	liao4	liao4				no	
𩕑	U+29551	yi4	cefpytab	yi4	yi4					no	
𩕒	U+29552	fan2	cefpytab	fan2	fan2					no	
𩕓	U+29553	yu4	cefpytab	yu4	yu4					no	
𩕔	U+29554	lin3	cefpytab	lin3	lin4					no	
𩕕	U+29555	wai4	HYDZD	wai4	wai4	wai4				no	
𩕖	U+29556	xuan1	HYDZD	quan2	xuan1	xuan1				no	
𩕗	U+29557	zhen3	cefpytab	zhen3	qin3					no	
𩕘	U+29558	pin2	cefpytab	pin2	pin2					no	
𩕙	U+29559									no	
𩕚	U+2955A									no	
𩕛	U+2955B									no	
𩕜	U+2955C	kui2	HYDZD			kui2				no	
𩕝	U+2955D	yan2	cefpytab	yan2	yan2					no	
𩕞	U+2955E	san3	cefpytab	san3	san3					no	
𩕟	U+2955F	e4	HYDZD	e4	e4	e4				no	
𩕠	U+29560	han4	HYDZD	han4	han4	han4				no	
𩕡	U+29561	se4	HYDZD	se4	se4	se4				no	
𩕢	U+29562	ding3	cefpytab	ding3	ding3					no	
𩕣	U+29563	ao2	cefpytab	ao2	ao2					no	
𩕤	U+29564	dan4	HYDZD	dan4	dan4	dan4				no	
𩕥	U+29565									no	
𩕦	U+29566	e4	cefpytab	e4	e4					no	
𩕧	U+29567									no	
𩕨	U+29568									no	
𩕩	U+29569	ding3	cefpytab	ding3	ding3					no	
𩕪	U+2956A	xuan1	HYDZD			xuan1				no	
𩕫	U+2956B	hong1	cefpytab	hong1	meng2					no	
𩕬	U+2956C	e4	HYDZD	ge2	e4	e4				no	
𩕭	U+2956D	kai4	cefpytab	kai4	ge2			gai4		no	
𩕮	U+2956E	yuan4	cefpytab	yuan4	yuan4					no	
𩕯	U+2956F	dao1	HYDZD	lao1	dao1	dao1				no	
𩕰	U+29570									no	
𩕱	U+29571	meng3	HYDZD	meng3	meng3	meng3				no	
𩕲	U+29572	yi1	HYDZD	yi1	yi1	yi1				no	
𩕳	U+29573	ning3	HYDZD	ning3	ning3	ning3				no	
𩕴	U+29574	lan3	cefpytab	lan3	lin3					no	
𩕵	U+29575	pin2	HYDZD	ping2	ping2	pin2				no	
𩕶	U+29576	lin3	cefpytab	lin3	lin4					no	
𩕷	U+29577									no	
𩕸	U+29578	zhan3	cefpytab	zhan3	zhan3					no	
𩕹	U+29579	cang1	HYDZD			cang1				no	
𩕺	U+2957A	yi4	cefpytab	yi4	zhuai4					no	
𩕻	U+2957B									no	
𩕼	U+2957C	lin3	cefpytab	lin3	lin4					no	
𩕽	U+2957D									no	
𩕾	U+2957E	yuan4	HYDZD	yuan4	yuan4	yuan4				no	
𩕿	U+2957F	yan3	cefpytab	yan3	yan3					no	
𩖀	U+29580	e4	HYDZD	e4	e4	e4				no	
𩖁	U+29581	nie4,ya2	HYDZD	ya4	nie4	nie4 ya2				no	
𩖂	U+29582									no	
𩖃	U+29583									no	
𩖄	U+29584	yin3	HYDZD	yin3	yan3	yin3				no	
𩖅	U+29585									no	
𩖆	U+29586	yin3	cefpytab	yin3	yan3					no	
𩖇	U+29587	qiao1	HYDZD	qiao1	qiao1	qiao1				no	
𩖈	U+29588									no	
𩖉	U+29589	hong1	HYDZD			hong1				no	
𩖊	U+2958A	ling2	HYDZD	ling2	ling2	ling2				no	
𩖋	U+2958B	lan3	cefpytab	lan3	lin3					no	
𩖌	U+2958C	chan1	HYDZD	chan1	chan1	chan1				no	
𩖍	U+2958D	ying3	HYDZD	ying3	ying3	ying3				no	
𩖎	U+2958E	hong1	cefpytab	hong1	hong1					no	
𩖏	U+2958F	bi4	cefpytab	bi4	bi4					no	
𩖐	U+29590	shou3	cefpytab	shou3	shou3					no	
𩖑	U+29591									no	
𩖒	U+29592	guan1	HYDZD			guan1				no	
𩖓	U+29593	pin2	cefpytab	pin2	pin2					no	
𩖔	U+29594	niao3	HYDZD			niao3				no	
𩖕	U+29595									no	
𩖖	U+29596									no	
𩖗	U+29597									no	
𩖘	U+29598									no	
𩖙	U+29599	chao1	cefpytab	chao1	chao1					no	
𩖚	U+2959A	biao1	cefpytab	biao1	biao1					no	
𩖛	U+2959B	peng2	HYDZD	peng2	peng2	peng2				no	
𩖜	U+2959C	peng2	cefpytab	peng2	peng1					no	
𩖝	U+2959D	liao2	HYDZD	liao2	liao2	liao2				no	
𩖞	U+2959E									no	
𩖟	U+2959F									no	
𩖠	U+295A0	bei4	HYDZD			bei4				no	
𩖡	U+295A1	biao1	cefpytab	biao1	biao1					no	
𩖢	U+295A2	hong1	cefpytab	hong1	hong2					no	
𩖣	U+295A3	xin2,ba2	HYDZD	xun2	ba2	xin2 ba2				no	
𩖤	U+295A4	tun2	HYDZD	tun2	tun2	tun2				no	
𩖥	U+295A5	chao1	HYDZD	chao1	chao1	chao1				no	
𩖦	U+295A6	gan1	HYDZD	gan1	gan1	gan1				no	
𩖧	U+295A7	feng4	cefpytab	feng4	biao1					no	
𩖨	U+295A8	hu1	HYDZD	hu1	hu1	hu1				no	
𩖩	U+295A9	wang3	HYDZD	wang3	wang3	wang3				no	
𩖪	U+295AA									no	
𩖫	U+295AB									no	
𩖬	U+295AC	fu2	HYDZD		fu2	fu2				no	
𩖭	U+295AD	pei4	HYDZD			pei4				no	
𩖮	U+295AE	xun2	cefpytab	xun2	ba2					no	
𩖯	U+295AF	nao2	HYDZD			nao2				no	
𩖰	U+295B0	xun2,xin2,xun2,xin2	HYDZD	xun2	xun2	xun2 xin2 xun2 xin2				no	
𩖱	U+295B1	xue4	HYDZD			xue4				no	
𩖲	U+295B2	nie4	cefpytab	nie4	nie4					no	
𩖳	U+295B3	xia4	cefpytab	xia4	xia4					no	
𩖴	U+295B4	liu3	HYDZD	liu3	liu3	liu3				no	
𩖵	U+295B5	ling2	HYDZD	ling2	ling2	ling2				no	
𩖶	U+295B6	xue4	HYDZD	xu4	xue4	xue4				no	
𩖷	U+295B7	qu1	HYDZD	qu1	qu1	qu1				no	
𩖸	U+295B8	hao2	HYDZD	hao2	hao2	hao2				no	
𩖹	U+295B9	yi2	HYDZD	yi2	yi2	yi2				no	
𩖺	U+295BA	han4	HYDZD	han4	han4	han4				no	
𩖻	U+295BB	hong3	cefpytab	hong3	hong4					no	
𩖼	U+295BC	fu2	HYDZD	fu2	fu2	fu2				no	
𩖽	U+295BD	ba2	HYDZD	ba2	ba2	ba2				no	
𩖾	U+295BE	yi2	HYDZD	yi2	yi2	yi2				no	
𩖿	U+295BF									no	
𩗀	U+295C0	bo2	HYDZD			bo2				no	
𩗁	U+295C1	sa4	cefpytab	sa4	sa4					no	
𩗂	U+295C2									no	
𩗃	U+295C3									no	
𩗄	U+295C4	hong1	HYDZD	hong1	hong1	hong1				no	
𩗅	U+295C5	li4	HYDZD	li4	li4	li4				no	
𩗆	U+295C6	xiu1	cefpytab	xiu1	xiu1					no	
𩗇	U+295C7	hou2	cefpytab	hou2	hou4					no	
𩗈	U+295C8	biao1	cefpytab	biao1	biao1					no	
𩗉	U+295C9	sa4	HYDZD	sa4	sa4	sa4				no	
𩗊	U+295CA	xi1	HYDZD	ji2	xi4	xi1				no	
𩗋	U+295CB	fan2	cefpytab	fan2	fan1					no	
𩗌	U+295CC									no	
𩗍	U+295CD									no	
𩗎	U+295CE	shi4	HYDZD			shi4				no	
𩗏	U+295CF	piao1	HYDZD			piao1				no	
𩗐	U+295D0	hua4	HYDZD			hua4				no	
𩗑	U+295D1	yi2	HYDZD			yi2				no	
𩗒	U+295D2	bo2	HYDZD			bo2				no	
𩗓	U+295D3	bo2	HYDZD	bo2	bo2	bo2				no	
𩗔	U+295D4	nei3	HYDZD	nei3	nei3	nei3				no	
